,Dry_matter,Protein,N,P,K,Ca,Fe,Zn,Mg,N_uptake,P_uptake,K_uptake,Ca_uptake,Fe_uptake,Zn_uptake,Mg_uptake,Acid_phosphomonosterase,Dehydrogenase,pH,EC,Plant_height_20DAT,Stem_diameter_20DAT,SPAD_20DAT,NDVI_20DAT,Plant_height_35DAT,Stem_diameter_35DAT,SPAD_35DAT,NDVI_35DAT,Flower_buds,Above_ground_biomass,PFPN,Agronomic_NUE,Recovery_rate_N,Recovery_rate_P,Recovery_rate_K,Physiological_Efficiency,N_P_ratio
P_uptake,0.6336312752935193,0.010433272304849743,0.01164473742096266,-0.3351411948483319,0.02645405819544968,-0.6243227268942647,-0.09774731160341557,-0.24880966492367249,-0.7465071837059103,0.8334030011162783,1.0,0.8778242264137341,0.8436370703936137,0.5246739464830871,0.17988276965630112,0.915102020948958,-0.4365392551618087,0.22359798759817368,0.3870797078990347,0.5634421789997355,0.7941129066136471,0.5389736052330977,0.5606868207592178,-0.06215768182216219,0.779424342234086,0.7240476798941055,0.5674433686951749,-0.011482331234157435,0.6526769613796143,0.9420721686006912,0.9373907571227565,0.9001615716180801,0.4274681865888701,0.9696125888764513,0.7459160433823662,0.621717981996234,-0.1747680244147578
K_uptake,0.7554207667499732,0.25968611157469945,0.2605143134006609,-0.6826719780369963,0.4062877916282567,-0.856597662773184,-0.04477064821773286,-0.25014032618021287,-0.8954132346566785,0.9115095193650827,0.8778242264137341,1.0,0.705357479699308,0.6356420705939302,0.2836480877913262,0.9359940857901955,-0.1720280368750176,0.041085203625879536,0.12075427590162045,0.5001724284034933,0.8759026154335157,0.5409325134691705,0.8115483085108529,-0.05432722164608856,0.9093492466985206,0.7942793327943667,0.7981333068195285,-0.022828663255300953,0.8078001672594325,0.9320056867613769,0.7395364311811972,0.76202006482327,0.41028540726351104,0.8270046823006558,0.977167777962471,0.4737514085640736,0.13696761989338996
Ca_uptake,0.6092037155768251,-0.023554787734175783,-0.022340557056166232,-0.2815518399005029,-0.22127295824531096,-0.3470377463218219,-0.008239116476672094,-0.25427662531870365,-0.6010141784977598,0.695913503415021,0.8436370703936137,0.705357479699308,1.0,0.4881787723883205,0.17450663809476796,0.8704742737999368,-0.7170020308378774,0.4727944706591716,0.6531038269917274,0.6790692163714538,0.6391008558430479,0.5931851422981594,0.40788314556209254,0.0007542189522131645,0.6348503012574285,0.6634174249775555,0.5110330750684209,-0.08817903107039132,0.5607099405316721,0.7964201182465207,0.7857819616157052,0.6260571053630918,0.2068335341196416,0.69188286841813,0.5432436996801118,0.5576426819995591,-0.23128351615569726
Fe_uptake,0.8059891155395993,0.1479523819595133,0.15126466153256737,-0.4476513582173283,0.1910084435229604,-0.5017919167263517,0.6200986785710348,0.05190556741255461,-0.5261326916983883,0.49362466133763255,0.5246739464830871,0.6356420705939302,0.4881787723883205,1.0,0.6119312143774541,0.6917507080386627,-0.06125179082236269,0.07598157731123172,0.012259032254019678,0.30312389521086325,0.4303784444764322,0.39815860777364875,0.5213252209172872,0.28539789239016056,0.4893155398758802,0.38026403907754996,0.5938242163918604,-0.25087282129659555,0.457935395260028,0.47750439940063444,0.015075274682192856,0.0899352681877571,-0.0835831131753901,0.32073849227530615,0.4731522981412138,0.41514698443228387,-0.0459969221262028
Zn_uptake,0.5131883089276995,0.14845200807155015,0.1500152703370081,-0.14499694146438685,0.19339315877582344,-0.17363830197685312,0.45446193930436857,0.5442517758352875,-0.12550212688834353,0.14161412129103754,0.17988276965630112,0.2836480877913262,0.17450663809476796,0.6119312143774541,1.0,0.33327940795659666,0.1647496292891958,0.1735021636739598,-0.2473426810076434,-0.09640500310151442,0.10018396684687461,0.2614893288609755,0.23827074899307846,0.7657902516343902,0.1380372025803838,0.09378120561723138,0.34263476005409027,-0.6866667391887902,0.1433740145494069,0.09911211129051747,-0.12186090577905506,-0.015618067882780686,0.0691300645908601,0.15243363977176508,0.3463218596197269,0.07216163376161684,-0.0388146890858282
Mg_uptake,0.832920022295923,0.13635198759192269,0.1378474389822318,-0.570520511971007,0.1423402042059674,-0.7016531560780819,0.019771622335655638,-0.24160432164733295,-0.8065932066933726,0.8381505305380066,0.915102020948958,0.9359940857901955,0.8704742737999368,0.6917507080386627,0.33327940795659666,1.0,-0.35788743622633584,0.20073596879274838,0.29684322758208087,0.5730819840098187,0.8045539903815482,0.585627387109443,0.6963213216341406,-0.021222608325638208,0.8293270830440637,0.7600899000700082,0.7426113412830064,-0.06696674719108298,0.7355596553356519,0.9054484523091213,0.7195150991455764,0.6518303503240083,0.21667947232765053,0.8086406323467747,0.7930698859283726,0.6046663127521178,-0.0488872717170351
Acid_phosphomonosterase,-0.07943824520300094,0.2538631517183329,0.25356269002396886,-0.16210776400606644,0.5420892292038563,-0.16202753482472662,-0.04296115787683198,0.19910894266152665,0.19601368112639414,-0.23608201665775294,-0.4365392551618087,-0.1720280368750176,-0.7170020308378774,-0.06125179082236269,0.1647496292891958,-0.35788743622633584,1.0,-0.6127255068665209,-0.9518034818171788,-0.6387206942917987,-0.254990290088587,-0.3846390562727834,0.08518731733114292,-0.017309030265061382,-0.19553581232537448,-0.3267938501443035,-0.013660326825483748,0.08138377486931396,-0.10848115141650806,-0.37076595095395937,-0.658950601451468,-0.41367612831223405,0.03882203782502728,-0.4148953478168546,-0.18871268445797662,-0.33153657728544145,0.3804630434925653
Dehydrogenase,0.06043277974808761,-0.252300451041499,-0.25023686638679055,0.23079877219296024,-0.4360315492445465,0.2524927984987594,0.033345090539277956,0.1643235365986181,0.026823271419557815,0.04282166737462601,0.22359798759817368,0.041085203625879536,0.4727944706591716,0.07598157731123172,0.1735021636739598,0.20073596879274838,-0.6127255068665209,1.0,0.6541086700470331,0.4635596374811737,0.020747036430212466,0.3294300387474769,-0.11415554841564553,0.4037242783108594,0.06803116089820654,0.20354330522280153,0.0014848371873830504,-0.40538510188123567,0.10658384921538655,0.13692032430251275,0.40473884744642746,0.15257548231805018,-0.192406572833236,0.25293645282407595,0.17024619614430056,0.24264229039713842,-0.3625470430970012
pH,0.04385405544960196,-0.31553041255542513,-0.3146235539009734,0.1939536386921925,-0.58583332010241,0.19659773711793738,0.00036780158555786436,-0.28035826601725017,-0.15551218740292308,0.1687615744925686,0.3870797078990347,0.12075427590162045,0.6531038269917274,0.012259032254019678,-0.2473426810076434,0.29684322758208087,-0.9518034818171788,0.6541086700470331,1.0,0.6610578506606207,0.2081981660726476,0.30440687106109315,-0.12085468992880838,-0.04360484094046577,0.15423855938791112,0.2772119129168766,-0.006369571770615935,-0.009245491078295932,0.10670126336495443,0.32421683110943117,0.6539215836037084,0.4045606615662941,-0.10152999030493237,0.3888537456287193,0.1790189893872911,0.34786505836475706,-0.4130277383504706
EC,0.2664391447326074,0.10967179982697514,0.11045392354954565,-0.28697064307640524,-0.04746090951566549,-0.33462560631948585,0.08407329208337669,-0.23386561794338193,-0.5481474046254823,0.5670281316061002,0.5634421789997355,0.5001724284034933,0.6790692163714538,0.30312389521086325,-0.09640500310151442,0.5730819840098187,-0.6387206942917987,0.4635596374811737,0.6610578506606207,1.0,0.5399347669370635,0.3713367656791525,0.39734076480992486,-0.0008530541661170451,0.5814239202594894,0.5582166643795466,0.4429363582821207,-0.04629743560482851,0.459568855684149,0.6205188455948869,0.43100756597887246,0.19274782253234116,-0.0759476850773981,0.18050334915658023,0.037882990078055456,0.16618221833999894,0.04353749725972341
